Local Government Area,Population,Latitude,Longitude
Melbourne,169961,-37.81 ,144.96 
Port Phillip,113200,-37.85 ,144.97 
 Stonnington,116207,-37.86 ,145.03 
 Yarra,98521,-37.80 ,144.99 
 Banyule,130237,-37.73 ,145.08 
 Bayside,105718,-37.93 ,145.02 
 Boroondara,181289,-37.81 ,145.07 
 Darebin,161609,-37.73 ,145.02 
 Glen Eira,153858,-37.90 ,145.04 
 Hobsons Bay,96470,-37.84 ,144.84 
 Kingston,163431,-37.37 ,143.95 
 Manningham,125508,-37.77 ,145.16 
 Maribyrnong,91387,-37.77 ,144.88 
 Monash,200077,-37.90 ,145.12 
 Moonee Valley,127883,-37.75 ,144.91 
 Moreland,181725,-37.72 ,144.95 
 Whitehorse,176196,-37.83 ,145.15 
 Brimbank,208714,-37.76 ,144.81 
Shire of Cardinia,107120,-37.11 ,145.58 
 Casey,340419,-38.11 ,145.29 
 Frankston,141845,-38.15 ,145.14 
 Greater Dandenong,166094,-38.01 ,145.20 
 Hume,224394,-37.60 ,144.83 
 Knox,163203,-37.87 ,145.25 
 Maroondah,117498,-37.81 ,145.26 
 Melton,156713,-37.68 ,144.58 
Shire of Mornington Peninsula,165822,-37.29 ,145.09 
Shire of Nillumbik,64941,-37.60 ,145.27 
 Whittlesea,223322,-37.51 ,145.11 
 Wyndham,255322,-37.91 ,144.65 
Shire of Yarra Ranges,158173,-37.75 ,145.71 
